,Title,Enrolled,Course_Type,Level,Subject,Language,Price[USD],Length[Weeks]
929,Exploring Psychology's Core Concepts|走进心理学,"5,741",Self-paced on your time,Introductory,Social Sciences,English,139,6
930,Creating Virtual Reality (VR) Apps,"22,349",Self-paced on your time,Intermediate,Computer Science,English,99,6
934,Dynamics and Control,"27,763",Self-paced on your time,Introductory,Engineering,English,50,6
935,Finding Your Cybersecurity Career Path,"19,283",Self-paced on your time,Introductory,Computer Science,English,199,6
936,Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,"12,674",Self-paced on your time,Introductory,Humanities,Español,29,6
937,Mechanics: Rotational Dynamics,"13,183",Self-paced on your time,Intermediate,Physics,English,49,12
941,Liderazgo orientado al florecimiento humano,"7,911",Self-paced on your time,Introductory,Business & Management,Español,149,4
942,Software Construction: Object-Oriented Design,"23,100",Self-paced on your time,Intermediate,Computer Science,English,125,6
945,The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,"17,941",Self-paced on your time,Introductory,History,English,50,12
948,Designing and Leading Learning Systems,"11,895",Self-paced on your time,Advanced,Education & Teacher Training,English,199,8
949,How the U.S. Government Works & How to Get Involved,"5,930",Self-paced on your time,Introductory,Social Sciences,English,49,6
950,Inspiring and Motivating Arts and Culture Teams,"10,817",Self-paced on your time,Introductory,Business & Management,English,49,5
952,A System View of Communications: From Signals to Packets (Part 1),"34,261",Self-paced on your time,Introductory,Computer Science,English,60,7
953,"Invasions, Rebellions, and the Fall of Imperial China","41,537",Self-paced on your time,Introductory,History,English,139,15
954,AP® English Literature & Composition – Part 3: Plays,"6,443",Self-paced on your time,Introductory,Humanities,English,49,7
955,Cómo implantar grupos de mejora de procesos,"28,100",Self-paced on your time,Introductory,Business & Management,Español,150,8
956,Proteins: Biology's Workforce,"25,893",Self-paced on your time,Intermediate,Biology & Life Sciences,English,169,5
957,Introducción a los ritmos y relojes biológicos,"6,149",Self-paced on your time,Introductory,Science,Español,50,4
959,"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications","10,205",Self-paced on your time,Advanced,Engineering,English,169,7
960,Fundamentos de Electromagnetismo para Ingeniería,"15,040",Self-paced on your time,Introductory,Physics,Español,49,7
961,Sustainable Food Systems: A Mediterranean Perspective,"6,480",Self-paced on your time,Intermediate,Food & Nutrition,English,49,10
963,Using GPUs to Scale and Speed-up Deep Learning,"9,294",Self-paced on your time,Intermediate,Data Analysis & Statistics,English,99,5
964,StudioX: Creating a Course with edX Studio,"20,355",Self-paced on your time,Introductory,Education & Teacher Training,English,99,3
966,Introducción a las ondas gravitacionales,"8,657",Self-paced on your time,Introductory,Science,Español,50,4
969,Global China: From the Mongols to the Ming,"41,902",Self-paced on your time,Introductory,History,English,139,15
972,Computational Neuroscience: Neuronal Dynamics of Cognition,"11,246",Self-paced on your time,Advanced,Biology & Life Sciences,English,139,6
973,Cities and the Challenge of Sustainable Development,"8,775",Self-paced on your time,Introductory,Environmental Studies,English,25,1
