,Title,Enrolled,Course_Type,Level,Subject,Language,Price[USD],Length[Weeks]
398,Maths Essentials,"44,642",Self-paced on your time,Introductory,Business & Management,English,79,6
399,"Marketing Analytics: Products, Distribution and Sales","50,588",Self-paced on your time,Intermediate,Computer Science,English,249,4
400,Marketing Innovative Products and Services,"6,293",Self-paced on your time,Introductory,Business & Management,English,149,4
401,Just Reading and Writing in English | 生活英语读写,"33,303",Self-paced on your time,Introductory,Art & Culture,English,149,15
402,Introduction to Java Programming – Part 1,"270,376",Self-paced on your time,Introductory,Computer Science,English,99,5
403,Comunicación y Redacción Digital,"7,165",Self-paced on your time,Introductory,Communication,Español,29,4
404,Monetary Policy Analysis and Forecasting,"6,616",Self-paced on your time,Advanced,Economics & Finance,English,25,6
405,Basic Analytical Chemistry,"19,010",Self-paced on your time,Introductory,Chemistry,English,49,6
406,Identifying Entrepreneurial Opportunities,"11,922",Self-paced on your time,Introductory,Business & Management,English,149,4
407,"ChinaX Book Club: Five Authors, Five Books, Five Views of China","5,855",Self-paced on your time,Introductory,Literature,English,139,5
408,Astrophysics: Cosmology,"83,322",Self-paced on your time,Intermediate,Physics,English,50,10
409,Japanese Culture and Language (I) |日语与日本文化（1）,"18,489",Self-paced on your time,Introductory,Art & Culture,中文,139,10
410,COVID-19 Training for Healthcare Workers,"5,742",Self-paced on your time,Introductory,Medicine,English,10,2
411,The Rise of Superheroes and Their Impact On Pop Culture,"31,368",Self-paced on your time,Introductory,Humanities,English,50,6
412,Introduction to Aeronautical Engineering,"99,971",Self-paced on your time,Introductory,Engineering,English,50,7
413,Diseño de Jardines,"5,683",Self-paced on your time,Introductory,Biology & Life Sciences,Español,29,4
414,"Introducción al griego clásico: lengua, nombres y mitología","18,849",Self-paced on your time,Introductory,Language,Español,49,5
415,Deep Learning Fundamentals with Keras,"32,140",Self-paced on your time,Intermediate,Data Analysis & Statistics,English,99,5
416,Existential Well-being Counseling: A Person-centered Experiential Approach,"48,439",Self-paced on your time,Introductory,Humanities,English,49,12
417,Solid Waste Management,"7,668",Self-paced on your time,Introductory,Environmental Studies,English,5,6
418,Retail Fundamentals,"37,558",Self-paced on your time,Intermediate,Business & Management,English,99,4
419,Greatest Unsolved Mysteries of the Universe,"93,965",Self-paced on your time,Intermediate,Physics,English,50,9
420,"Money Markets, Foreign Exchange and Time Value of Money","12,230",Self-paced on your time,Introductory,Economics & Finance,English,199,4
421,Gestión de Contenidos Digitales y Marketing Turístico de Ciudad,"14,627",Self-paced on your time,Introductory,Communication,Español,49,4
422,Designing the User Experience,"6,416",Self-paced on your time,Introductory,Business & Management,English,199,4
423,Introduction to Bioconductor,"36,370",Self-paced on your time,Intermediate,Data Analysis & Statistics,English,149,4
424,Connected Strategy,"10,355",Self-paced on your time,Intermediate,Business & Management,English,199,6
425,Hybrid Vehicles,"18,294",Instructor-led on a course schedule,Advanced,Engineering,English,249,6
426,First Nights - Handel's Messiah and Baroque Oratorio,"18,029",Self-paced on your time,Introductory,Humanities,English,49,3
427,Statistical Inference and Modeling for High-throughput Experiments,"51,590",Self-paced on your time,Intermediate,Data Analysis & Statistics,English,149,4
428,First Nights - Monteverdi’s L’Orfeo and the Birth of Opera,"13,300",Self-paced on your time,Introductory,Humanities,English,49,3
429,18th-Century Opera: Handel & Mozart,"18,331",Self-paced on your time,Introductory,Music,English,99,5
430,Introduction to video game development with Unity,"7,605",Self-paced on your time,Intermediate,Computer Science,English,50,6
431,Best Practices for Project Management Success,"46,610",Self-paced on your time,Intermediate,Business & Management,English,150,11
432,Fundamentos de la Tecnología Blockchain,"5,473",Self-paced on your time,Introductory,Economics & Finance,Español,49,5
433,Información financiera y su análisis,"5,473",Self-paced on your time,Advanced,Economics & Finance,Español,49.99,4
434,Coaching Skills for Learner-Centred Conversations,"8,089",Self-paced on your time,Introductory,Education & Teacher Training,English,49,4
435,Intellectual Property Law and Policy: Part 1,"43,993",Self-paced on your time,Intermediate,Law,English,169,6
436,Robotics,"68,199",Instructor-led on a course schedule,Advanced,Computer Science,English,249,10
437,La gestion des ressources humaines,"6,824",Self-paced on your time,Introductory,Business & Management,Français,99,7
438,Writing for Social Justice,"9,927",Self-paced on your time,Introductory,Humanities,English,50,4
439,Steps in Japanese for Beginners1 Part2,"8,080",Self-paced on your time,Introductory,Language,English,99,5
440,Case Studies in Functional Genomics,"26,850",Self-paced on your time,Advanced,Data Analysis & Statistics,English,149,5
441,Essential Career Skills for Investment Banking and Finance,"11,655",Self-paced on your time,Introductory,Business & Management,English,49,2
442,Data Structures and Software Design,"30,609",Self-paced on your time,Intermediate,Computer Science,English,149,4
443,Unconscious Bias: From Awareness to Action,"26,659",Self-paced on your time,Introductory,Communication,English,49,3
444,Cybersecurity for Critical Urban Infrastructure,"5,306",Self-paced on your time,Advanced,Computer Science,English,100,4
445,"Agile Process, Project, and Program Controls","16,339",Self-paced on your time,Advanced,Engineering,English,199,4
446,Risk Management in Development Projects,"13,263",Self-paced on your time,Intermediate,Business & Management,English,25,10
447,"Pintura europea: Leonardo, Rembrandt, Goya","32,635",Self-paced on your time,Introductory,Humanities,Español,29,7
448,Risk & Return,"21,970",Self-paced on your time,Introductory,Business & Management,English,225,4
449,Project Management of Engineering Projects: Preparing for Success,"42,834",Instructor-led on a course schedule,Intermediate,Business & Management,English,99,10
450,Supply Chain Dynamics,"75,464",Instructor-led on a course schedule,Advanced,Business & Management,English,299,13
451,AWS Developer: Building on AWS,"54,249",Self-paced on your time,Advanced,Computer Science,English,149,6
452,Financial Accounting Made Fun: Eliminating Your Fears,"36,787",Self-paced on your time,Introductory,Business & Management,English,199,4
453,PredictionX: John Snow and the Cholera Epidemic of 1854,"17,713",Self-paced on your time,Introductory,History,English,25,1
454,Gestión de operaciones,"9,512",Self-paced on your time,Introductory,Business & Management,Español,119,6
455,Microeconomics & Business,"10,962",Self-paced on your time,Introductory,Economics & Finance,English,79,8
456,Inteligencia artificial: Chatbots sin programación,"5,001",Self-paced on your time,Introductory,Computer Science,Español,49,2
457,Diseño e innovación de modelo de negocios,"7,180",Self-paced on your time,Advanced,Business & Management,Español,99,4
458,Unlocking Investment and Finance in Emerging Markets and Developing Economies (EMDEs),"29,171",Self-paced on your time,Introductory,Economics & Finance,English,5,4
460,Gestão de riscos em projetos,"8,771",Self-paced on your time,Intermediate,Business & Management,Português,25,10
461,Vocal Recording Technology,"52,369",Self-paced on your time,Introductory,Engineering,English,49,6
463,IoT Sensors and Devices,"33,072",Self-paced on your time,Introductory,Computer Science,English,199,5
464,Introducción a las tecnologías para la Educación,"31,533",Self-paced on your time,Introductory,Computer Science,Español,49,5
465,Fundamentos de la guitarra eléctrica y acústica,"13,124",Self-paced on your time,Introductory,Music,Español,49,6
466,e-Learning on Digital Agriculture,"6,238",Self-paced on your time,Introductory,Environmental Studies,English,5,5
467,Exploring GraphQL: A Query Language for APIs,"9,503",Self-paced on your time,Introductory,Computer Science,English,149,7
468,EmSAT English Preparation - Level 2,"7,346",Self-paced on your time,Intermediate,Language,English,49,6
469,The Data Science Method,"7,868",Self-paced on your time,Introductory,Data Analysis & Statistics,English,39,7
