,Title,Price[USD],Subscribers,Reviews,Lectures,Level,Length[Weeks],Subject,Published_Date,Language
1784,Mastering Realistic Real Life Drawing with Pencil,20,33,5,12,Beginner Level,0.65,Graphic Design,2015-04-20,English
1785,Silhouettes that Sells,25,9,1,13,Beginner Level,1.0,Graphic Design,2017-03-23,English
1786,FullPage: The Complete Guide to Flat Websites,20,817,14,13,All Levels,0.6333333333333333,Graphic Design,2013-11-18,English
1787,How to design professional PowerPoint business presentation,20,286,7,7,All Levels,1.0,Graphic Design,2014-11-11,English
1788,Pic Monkey for Beginners - Graphic Design and Photo Editing,20,774,3,17,Beginner Level,3.0,Graphic Design,2015-11-08,English
1789,Corel Painter 2016,40,41,9,86,All Levels,8.0,Graphic Design,2016-05-11,English
1790,eBook Cover Design,20,30,3,14,Intermediate Level,1.5,Graphic Design,2014-11-04,English
1791,"Photoshop tips and tricks, how to change clothes",20,837,4,26,All Levels,2.0,Graphic Design,2015-03-16,English
1792,How to make Better Compositions: Take your art to new height,30,11,3,8,All Levels,0.5333333333333333,Graphic Design,2016-08-04,English
1793,Adobe Photoshop CC | The Essential Guide,20,254,5,81,All Levels,4.5,Graphic Design,2015-05-12,English
1794,Learn to Composite a 2D Action Shot in Photoshop,20,40,2,8,Beginner Level,1.5,Graphic Design,2016-09-10,English
1795,Infographic Design: How To Create Your Own Infographic,20,84,8,13,All Levels,2.0,Graphic Design,2015-05-12,English
1796,Autodesk Inventor 2016 : Complete Guide ,20,23,4,83,Beginner Level,7.5,Graphic Design,2016-03-22,Spanish
1797,Amazing Graphic Design for Beginners,20,32,10,5,Beginner Level,0.7,Graphic Design,2015-07-08,English
1798,"7 Ways A Beginner Guitarist Can Sound Better, Instantly!",0,4529,193,7,Beginner Level,0.6,Musical Instruments,2015-12-21,English
1799,Instant Harmonica - Christmas. Play Jingle Bells Part 1 now,20,823,11,10,All Levels,0.7,Musical Instruments,2015-12-11,English
1800,Playing Piano:  Popular Pieces Vol. II,150,1472,4,24,Beginner Level,1.5,Musical Instruments,2016-03-31,English
1801,Ninja Chord Changes - Master your guitar chord changes,30,1327,11,13,Beginner Level,1.5,Musical Instruments,2015-03-29,English
1802,Your First 10 Guitar Lessons - Learn how to play guitar,0,924,4,18,Beginner Level,1.0,Musical Instruments,2017-06-29,English
1803,Pentatonic Scale Crash Course for Bass Guitar,0,898,6,24,Intermediate Level,1.0,Musical Instruments,2017-06-15,English
1804,Modal Theory for Guitar (Guitar Lessons from Lutz Academy),50,1039,29,9,All Levels,1.5,Musical Instruments,2016-05-06,English
1805,Learn Fun Dreamy Piano Techniques #1 -  Play White Christmas,80,1474,10,102,All Levels,2.0,Musical Instruments,2015-10-20,English
1806,Learn Jazz Piano Today,50,1167,66,44,All Levels,3.0,Musical Instruments,2014-01-24,English
1807,Learn To Play The Drums Without A Drum Kit,25,1589,52,39,All Levels,2.0,Musical Instruments,2014-06-27,English
1808,Learn Travis Picking From Scratch,40,219,30,25,Intermediate Level,1.5,Musical Instruments,2017-01-01,English
1809,Instant Harmonica - how to get single notes in 5 easy steps,20,835,10,7,Beginner Level,0.6333333333333333,Musical Instruments,2015-07-22,English
1810,Piano Runs & Fills #3:  Jazzy Chromatic Chord Song Endings,70,747,5,28,All Levels,1.0,Musical Instruments,2015-11-10,English
1811,Teaching Music : Start teaching an instrument successfully.,30,1337,5,18,Beginner Level,1.5,Musical Instruments,2015-10-16,English
1812,Strumming from scratch - Rhythm guitar lesson for Beginners,0,530,11,13,Beginner Level,2.0,Musical Instruments,2017-05-04,English
1813,Blues Guitar Lessons - From Texas To Carolina,20,1297,12,9,Intermediate Level,2.5,Musical Instruments,2013-10-13,English
1814,Instant Harmonica - play the groovy Beatles Yesterday today!,40,295,7,14,All Levels,1.0,Musical Instruments,2016-04-25,English
1815,Beginner Guitar Quick-Start Course,0,2084,20,7,Beginner Level,1.0,Musical Instruments,2016-09-28,German
1816,Mike G's Beginner Drum Course: Part 1,35,515,14,20,Beginner Level,3.0,Musical Instruments,2015-11-01,German
1817,Guitar for Beginners - Learn the Basics,20,1026,13,19,Beginner Level,0.5166666666666666,Musical Instruments,2015-06-12,English
1818,How To Play The Djembe: For Beginners,30,414,18,19,All Levels,1.0,Musical Instruments,2014-11-11,English
1819,Blues Guitar Lessons - Volume 1 - Blues Shuffle Essentials,45,198,21,15,All Levels,2.5,Musical Instruments,2016-02-12,English
1820,Beginner Guitar - 38 Easy Lessons You Needs to Get Started,40,250,24,39,Beginner Level,3.0,Musical Instruments,2013-09-05,English
1821,Bass Guitar Lessons For Beginners,95,180,21,38,Beginner Level,2.5,Musical Instruments,2016-04-26,German
1822,Pure Pentatonic Power: Rock and Blues Guitar Soloing,50,128,10,18,All Levels,2.0,Musical Instruments,2016-11-27,English
1823,Rock Drumset Grooves: Level 1,20,709,12,38,Beginner Level,2.0,Musical Instruments,2014-09-02,English
1824,Guitar: The Next Level,55,117,12,10,Beginner Level,1.0,Musical Instruments,2015-10-02,English
1825,Learn to Play Euphonium: Beginner to Pro in Under Five Hours,50,305,39,108,Beginner Level,7.0,Musical Instruments,2015-04-16,English
1826,Learn Oud 1 (No Prior Music Knowledge Required!),20,153,27,38,Beginner Level,3.5,Musical Instruments,2015-09-10,English
1827,Instant Harmonica - play Dylan's Blowing in the Wind today!,20,81,5,14,All Levels,1.0,Musical Instruments,2016-01-12,English
1828,Improvise On The Piano In 30 Minutes,40,85,8,19,Beginner Level,1.5,Musical Instruments,2016-08-18,English
1829,Cajon Step-by-Step: Beginner > Intermediate > Advanced,35,73,9,45,All Levels,3.0,Musical Instruments,2017-02-13,English
1830,Blues Guitar Lessons - Volume 2 - Slow Blues Essentials,45,178,21,11,All Levels,2.0,Musical Instruments,2016-02-13,English
1831,Instant Harmonica - play the gorgeous Skye Boat Song now!,20,122,9,11,Beginner Level,0.6333333333333333,Musical Instruments,2015-10-18,English
1832,Learn to Play Trombone: Go From Beginner to Pro in No Time!,50,402,47,123,All Levels,7.5,Musical Instruments,2015-03-04,English
1833,FingerstyleGuitar by Jacques Stotzem - Basic Level,30,119,12,16,All Levels,1.5,Musical Instruments,2015-10-12,English
1834,Instant Harmonica - play two Star Wars themes in 30 minutes ,20,605,21,11,Beginner Level,0.7,Musical Instruments,2015-07-28,English
1835,Play Piano To-day! - Beginner Piano Lessons For Busy People!,100,476,16,91,Beginner Level,4.0,Musical Instruments,2016-11-01,English
1836,Learn to Play the Flute: Beginner to Pro in Under Five Hours,50,707,116,108,Beginner Level,7.0,Musical Instruments,2014-10-29,English
1837,Play Piano 7: Improvise on For All We Know in F Key by Ear,50,438,3,77,All Levels,1.5,Musical Instruments,2016-11-10,English
1838,World's Fastest Piano Method - The Piano Revolution!,95,1199,58,31,Beginner Level,2.0,Musical Instruments,2013-02-18,English
1839,Learn to Play the Trumpet: Beginner to Pro Made the Easy Way,50,966,157,145,Beginner Level,7.5,Musical Instruments,2014-03-21,English
1840,Learn to Play Clarinet: Beginner to Pro in Under Five Hours,50,877,93,88,Beginner Level,6.0,Musical Instruments,2015-01-01,English
1841,"Learn To Play The Piano Using Pop, R&B and Gospel Chords",50,1504,15,14,All Levels,0.6833333333333333,Musical Instruments,2013-10-15,English
1842,Play By Ear #4: Play Song By Ear with 3 Chords Using Any Key,95,1064,11,110,All Levels,2.5,Musical Instruments,2015-02-07,English
1843,Worship Piano: From Beginner to Pro,80,117,11,32,All Levels,3.0,Musical Instruments,2017-02-18,English
1844,Easy to play Christmas Songs for Guitar,100,1229,8,11,All Levels,0.5,Musical Instruments,2015-12-12,English
1845,Ultimate Blues Guitar Beginner Lessons,20,922,57,90,Beginner Level,10.5,Musical Instruments,2014-03-08,English
1846,How to Play Piano - Your First Lesson!,0,662,7,13,Beginner Level,0.5166666666666666,Musical Instruments,2017-06-24,English
1847,Playing Piano : Reading and Playing Classical Tunes Vol.I,50,1732,6,34,Beginner Level,2.0,Musical Instruments,2015-10-16,English
1848,Blues School! A Course For Beginners in Blues Piano & Improv,120,326,44,54,All Levels,3.0,Musical Instruments,2017-02-22,English
1849,Learn Fun Dreamy Piano Techniques # 2 - Play Silver Bells,80,1284,6,99,All Levels,2.0,Musical Instruments,2015-10-26,English
1850,31 Day Guitar Challenge,40,1029,22,32,Beginner Level,3.5,Musical Instruments,2015-11-30,English
1851,Percussive Fingerstyle Guitar,50,886,43,74,Intermediate Level,1.5,Musical Instruments,2015-02-02,English
1852,Learn to Play Saxophone: Beginner to Pro in Under Four Hours,50,1213,158,77,Beginner Level,5.0,Musical Instruments,2014-03-03,English
1853,"Learn BASS GUITAR- Have Fun, Amaze Your Friends- It's Easy! ",100,1605,19,52,Beginner Level,2.0,Musical Instruments,2015-02-13,English
1854,Guitar Insanity Workout - Eatmystrings!,50,2673,17,29,All Levels,2.5,Musical Instruments,2012-07-06,English
1855,Playing Piano:  Play Chords and Popular Pieces Vol.I,100,1987,7,43,Beginner Level,3.0,Musical Instruments,2016-02-01,English
1856,Guitar Chord Riot! Learn to Play Guitar Like a Guitar Jedi,75,1052,6,43,Intermediate Level,0.5,Musical Instruments,2016-03-11,English
1857,Guitar: Learn 12 Must Know Beginner Rock Guitar Riffs,50,1548,10,20,Beginner Level,2.0,Musical Instruments,2015-09-24,German
1858,Guitar Fretboard Mastery for the Blues Guitarist,20,257,6,5,All Levels,1.0,Musical Instruments,2014-01-16,English
1859,Quick & Easy Piano Chords: Play more songs with more chords,55,1818,4,90,Beginner Level,2.5,Musical Instruments,2014-07-17,English
1860,Instant Harmonica - play Scarborough Fair in 8 easy lectures,40,543,4,12,Beginner Level,1.0,Musical Instruments,2015-07-24,English
1861,Piano With Willie: Blues n' Boogie Vol. 2,40,95,8,11,Intermediate Level,2.5,Musical Instruments,2016-04-13,English
1862,Have Fun with Beginner Blues Piano,75,321,24,27,All Levels,2.5,Musical Instruments,2013-08-05,English
1863,Learn to Play Harp: Beginners Course,0,408,7,10,Beginner Level,0.6833333333333333,Musical Instruments,2017-04-28,English
1864,Instant Harmonica - play this classic 8 bar blues tune!,40,43,4,13,All Levels,1.0,Musical Instruments,2017-04-23,English
1865,Guitar Lessons - Learning The Neck - Fretboard Mastery,45,239,30,49,All Levels,6.0,Musical Instruments,2016-02-16,English
1866,Take your double bass drum technique to the next level,40,584,7,196,Intermediate Level,5.5,Musical Instruments,2016-05-16,English
1867,How To Play The Cajon: For Beginners,30,144,15,25,All Levels,1.5,Musical Instruments,2015-12-18,English
1868,Slide Guitar- Slide Soloing Essentials,50,297,20,17,All Levels,3.0,Musical Instruments,2016-02-11,English
1869,Learn Piano #8:  Use Augmented Chord Sub & Whole Tone Scales,60,1137,4,45,All Levels,1.0,Musical Instruments,2016-02-23,English
1870,Learn Acoustic Guitar for Worship,40,86,18,26,Beginner Level,2.0,Musical Instruments,2017-01-23,English
1871,Learn 3 - All Time A R Rahman Hits on Carnatic Flute!,70,98,18,31,Intermediate Level,2.5,Musical Instruments,2016-12-13,English
1872,Guitar Lessons: The Essential Beginner & Intermediate Course,0,2566,39,23,All Levels,2.0,Musical Instruments,2016-06-10,English
1873,Instant Harmonica - play the groovy Irish Washerwoman now!,40,55,8,13,Beginner Level,1.0,Musical Instruments,2017-01-24,English
1874,Music Fundamentals: Learn Beatmaking with Pen Tapping,200,537,2,22,All Levels,2.0,Musical Instruments,2015-11-13,English
1875,"Learn to Play Fernando Sor's 'Study in B minor"",https://www.udemy.com/study-in-b-minor/,true,115,1403,5,9,Intermediate Level,43 mins,2014-01-27T20:58:16Z
398746,Piano: The Chord Based System - Learn To Play As The Pros Do""",115,595,20,33,All Levels,2.0,Musical Instruments,2015-02-09,English
1876,Beginner Guitar Lessons by Paul Gronow,50,659,4,46,All Levels,3.5,Musical Instruments,2016-03-02,English
1877,Guitar Fretboard Secrets,55,186,13,35,Intermediate Level,2.0,Musical Instruments,2016-12-01,English
1878,Learn to Play French Horn: Beginner to Pro Made the Easy Way,50,460,27,131,Beginner Level,8.0,Musical Instruments,2014-10-29,English
1879,150 Rock Guitar Licks You MUST Know,45,252,14,21,All Levels,4.5,Musical Instruments,2016-02-19,English
1880,Didgeridoo - from zero to HERO! Part One - beginning,35,87,11,38,Beginner Level,3.0,Musical Instruments,2016-07-02,English
1881,Learn Piano Scales: Play any song in any key! Like Pro's do,50,1720,9,26,Beginner Level,2.5,Musical Instruments,2014-10-29,English
1882,Instant Harmonica - play the groovy Valens La Bamba now!,20,390,4,10,Beginner Level,0.7333333333333333,Musical Instruments,2016-02-22,English
1883,Blues Master - Beginner's Techniques Piano Course,0,2618,41,16,All Levels,1.5,Musical Instruments,2016-03-29,English
1884,"How to play Djembe, Drums & Rhythm. Level 2",40,390,14,36,Intermediate Level,2.0,Musical Instruments,2015-07-23,English
1885,Instant Harmonica - play Amazing Grace with grace and ease!,40,496,6,14,Beginner Level,1.0,Musical Instruments,2015-08-01,English
1886,Instant Harmonica - play Amazing Grace + Ode to Joy now!,40,341,7,23,All Levels,1.5,Musical Instruments,2016-06-17,English
1887,Play Thousands of Songs On The Guitar | Cheater Chords,100,97,5,12,Beginner Level,1.0,Musical Instruments,2017-04-19,English
1888,Piano Improvisation from Day One,20,1249,37,21,All Levels,3.0,Musical Instruments,2013-03-01,English
1889,Classical Guitar Essentials - The Basics Part 1,65,861,19,52,Beginner Level,4.5,Musical Instruments,2016-05-04,English
1890,Learn Piano #7- Learn Chromatic Chords & Chromatic Scale Run,60,973,8,74,All Levels,2.0,Musical Instruments,2016-02-01,English
1891,Play all major scales by ear - no notation required!,40,868,8,62,Beginner Level,3.5,Musical Instruments,2015-12-15,English
1892,How to play in a local Irish music session with confidence,40,193,5,8,All Levels,1.0,Musical Instruments,2016-08-18,English
1893,The Total Beginner's Guitar Course,0,9193,357,17,Beginner Level,1.5,Musical Instruments,2016-03-24,English
1894,Virtual Piano Lessons - A New Way To Learn Piano,50,5830,29,12,All Levels,1.0,Musical Instruments,2013-07-21,English
1895,16 Guitar Chords to Jam With - (Beginner - Intermediate),20,1224,19,20,Beginner Level,1.0,Musical Instruments,2015-07-10,English
1896,Free Beginner Electric Guitar Lessons,0,101154,1042,95,Beginner Level,4.5,Musical Instruments,2012-06-15,English
1897,101 Awesome Rockabilly Guitar Licks,40,407,64,33,Intermediate Level,2.5,Musical Instruments,2016-08-10,English
1898,A beginner`s guide to fingerpicking and strumming guitar',0,3481,29,20,Beginner Level,2.0,Musical Instruments,2016-09-13,English
1899,"Instant Harmonica - Basic 12 Bar Blues course, easy and fun!",40,124,8,14,Beginner Level,1.0,Musical Instruments,2017-03-29,English
1900,Your First Course on Piano,70,2002,34,33,Beginner Level,4.0,Musical Instruments,2015-07-16,English
1901,Acoustic Guitar Basics,0,14495,224,21,Beginner Level,2.0,Musical Instruments,2014-08-07,English
1902,Cracking the Violin Code!,120,746,82,40,All Levels,5.5,Musical Instruments,2015-11-17,English
1903,Instant Bodhran - part one; learn the basics of drumming now,30,920,31,9,Beginner Level,1.0,Musical Instruments,2016-01-12,English
1904,"Play The Piano By Ear | Master Class, Learn By Doing",175,362,38,27,All Levels,2.5,Musical Instruments,2016-11-12,English
1905,Discover Classical Guitar Level 2   ,75,927,35,123,Intermediate Level,11.5,Musical Instruments,2015-09-01,English
1906,Fingerpicking Classics - Great songs played fingerstyle!,20,953,11,13,All Levels,2.0,Musical Instruments,2015-08-07,English
1907,6 Must Know Tricks to Successful Solos,35,469,38,30,All Levels,4.0,Musical Instruments,2015-09-28,English
1908,CAGED System for Guitar (Guitar Lessons from Lutz Academy),50,450,15,7,All Levels,1.5,Musical Instruments,2016-07-25,English
1909,Learn the Violin - No Music Experience Necessary!,120,600,27,30,Beginner Level,3.0,Musical Instruments,2015-09-02,English
1910,Your Second Course on Piano: Two Handed Playing,70,1018,12,22,Beginner Level,5.0,Musical Instruments,2015-10-26,English
1911,How to Design Your Own Guitar,50,181,34,32,All Levels,5.0,Musical Instruments,2014-06-25,English
1912,How To Play Blues Guitar - Broonzy & McGhee Blues Lessons,0,8240,31,6,Intermediate Level,1.5,Musical Instruments,2013-11-23,English
1913,Play Sonny Terry style on Harmonica and dazzle your friends!,200,582,49,51,All Levels,5.5,Musical Instruments,2014-12-18,English
1914,Blues and Advanced Guitar Lessons,85,1235,46,131,All Levels,7.5,Musical Instruments,2013-06-10,English
1915,Learn basics of South Indian Carnatic Flute Step by Step ,150,380,113,49,Beginner Level,4.0,Musical Instruments,2015-04-15,English
1916,Basic Piano Hymn Playing,20,1842,21,28,Beginner Level,1.5,Musical Instruments,2013-12-12,English
1917,#1 Piano Hand Coordination: Play 10th Ballad in Eb Key songs,35,3137,18,68,All Levels,1.5,Musical Instruments,2014-09-18,English
1918,Piano Music Theory (Back To Basics) by JFilt,0,4967,308,12,Beginner Level,0.5,Musical Instruments,2017-02-13,English
1919,Guitar - 12  Strumming Patterns You Must Know For Guitar,50,2154,40,16,Beginner Level,1.0,Musical Instruments,2015-07-06,English
1920,Guitar Lessons for complete beginners - super simple and fun,20,936,9,12,Beginner Level,0.6666666666666666,Musical Instruments,2016-09-12,English
1921,CAGED Pentatonic System for Guitar - Level 3,45,1224,17,32,All Levels,1.5,Musical Instruments,2016-09-28,English
1922,Classical Guitar Essentials - The Basics Part 2,95,1030,1,44,Intermediate Level,4.5,Musical Instruments,2017-03-03,English
1923,Introduction to Piano - By PGN Piano!,0,14922,772,8,Beginner Level,0.6666666666666666,Musical Instruments,2015-08-16,Spanish
1924,Keyboard Instruments - Read Sheet Music for Piano Fast!,50,2788,52,41,Beginner Level,1.5,Musical Instruments,2015-07-01,English
1925,How to Play the Guitar: Your 30-Day Guide to Learn Guitar,20,2686,10,32,Beginner Level,6.0,Musical Instruments,2016-02-02,English
1926,Drumming Accelerator: How To Get The Best Start Possible,200,1594,4,34,Beginner Level,1.5,Musical Instruments,2017-04-18,English
1927,Play Piano 4: Improvise on popular song Yesterday chords,50,1018,4,63,All Levels,1.5,Musical Instruments,2016-10-30,English
1928,Beginner's Guitar Lessons - Crash Course for Busy Adults,50,1194,9,29,Beginner Level,2.0,Musical Instruments,2017-05-02,English
1929,Getting Started with the Guitar in 5 Days,0,270,1,24,Beginner Level,1.5,Musical Instruments,2017-07-03,English
1930,Guitar Lessons - String Bending And Vibrato Essentials,0,3325,28,5,All Levels,1.0,Musical Instruments,2016-02-15,English
1931,Piano With Willie: Blues n' Boogie Vol. 1,40,172,26,15,Intermediate Level,2.5,Musical Instruments,2016-04-13,English
1932,Piano Runs & Fills #4: C6 Rolling Waves & Waterfall Runs,70,834,3,35,All Levels,1.0,Musical Instruments,2015-11-10,English
1933,Chugging - it don't mean a thing if it ain't got that swing!,200,382,21,25,All Levels,2.5,Musical Instruments,2015-04-20,English
1934,Make Your Own Ukulele,85,452,5,23,All Levels,4.5,Musical Instruments,2016-08-29,English
1935,"Beginner Violin 101: Care, Maintenance, and the Right Gear",0,5543,107,29,All Levels,4.0,Musical Instruments,2015-03-03,English
1936,Learn How To Play 25 Classic Hip Hop Songs,25,153,9,27,All Levels,2.5,Musical Instruments,2017-02-13,English
1937,Learn Beethoven's Fur Elise on Piano,20,1582,11,6,All Levels,0.4833333333333333,Musical Instruments,2014-06-13,English
1938,Play Violin and Fiddle for beginners - it's fun  - Course 1,20,560,8,9,Beginner Level,1.0,Musical Instruments,2016-03-18,English
1939,Piano With Willie Building Technique with Scales Vol. 1,40,111,15,12,All Levels,1.5,Musical Instruments,2016-04-13,English
1940,Christmas Piano Songs For The Very Beginner Vol. I,40,1060,3,15,Beginner Level,1.5,Musical Instruments,2015-11-22,English
1941,Introduction to Gypsy Jazz Guitar,95,452,10,18,All Levels,2.5,Musical Instruments,2017-05-14,English
1942,"Learn How to Play Blues, Rock, & Boogie Woogie Piano Today",45,2346,11,14,All Levels,0.65,Musical Instruments,2014-10-08,English
1943,The Piano Chord Ladder | Learn to Play Thousands of Songs,100,103,2,11,All Levels,1.0,Musical Instruments,2017-05-31,English
1944,Play Piano 5: Improvise on Misty Eb Key Runs & 2-5 Chords,50,833,6,70,Expert Level,1.5,Musical Instruments,2016-11-03,English
1945,Playing Piano: Scales and Arpeggios Vol.I : Major keys,50,2358,3,26,Beginner Level,1.0,Musical Instruments,2016-03-31,English
1946,Drumming for Beginners - Simple Way To Learn How To Drum,20,1814,28,22,Beginner Level,2.0,Musical Instruments,2016-03-02,English
1947,Get great playing HARMONICA - a fun new leisure time hobby !,35,2543,44,17,All Levels,2.0,Musical Instruments,2014-02-12,English
1948,Fingerstyle Guitar Mastery: 3 Techniques You Need To Know,0,3042,40,13,All Levels,0.5666666666666667,Musical Instruments,2016-12-13,English
1949,Play Piano 3: Improvise Chords to Enchanted Evening by Ear,50,809,5,57,All Levels,1.5,Musical Instruments,2016-10-30,English
1950,"Jazz Guitar Tips, Tricks and Licks",0,9351,331,21,Intermediate Level,2.0,Musical Instruments,2017-05-01,English
1951,Piano From Zero To Pro - Beginner Essentials To The Piano,70,811,129,52,Beginner Level,3.5,Musical Instruments,2016-03-16,English
1952,"Piano: Learn 48 chords in 1 hour,  and always remember how",120,1424,71,16,Beginner Level,1.5,Musical Instruments,2014-12-28,English
1953,Walking Bass - Quick Start Guide,50,193,20,31,All Levels,1.0,Musical Instruments,2015-12-10,German
1954,Beginner Guitar Lessons: Learn To Play Guitar Today (WAVE 1),45,65,18,56,Beginner Level,10.0,Musical Instruments,2017-05-01,English
1955,Blues Bass - Quick Start Guide,50,59,8,29,All Levels,1.5,Musical Instruments,2016-11-24,German
1956,How to speak Pianish (beginner level),30,545,5,10,Beginner Level,1.0,Musical Instruments,2014-08-25,English
1957,Gospel Piano Essentials,30,668,39,46,Intermediate Level,11.5,Musical Instruments,2013-07-11,English
1958,Instant Harmonica - play Leonard Cohen's Hallelujah now!,40,100,15,14,All Levels,1.5,Musical Instruments,2016-11-20,English
1959,Guitar Crash Course (No Experience Necessary),0,5769,78,29,Beginner Level,1.0,Musical Instruments,2015-01-22,English
1960,Beginner Guitar Lessons - Your Complete Foundation Course,60,293,30,162,Beginner Level,18.5,Musical Instruments,2016-04-11,French
1961,Piano Building Blocks: Learn the 24 Most Common Chords,50,492,10,17,Beginner Level,1.5,Musical Instruments,2016-03-07,English
1962,Learn to Play the Oboe: Beginner to Pro in Under Four Hours,50,500,39,74,Beginner Level,5.0,Musical Instruments,2015-01-01,English
1963,Playing Piano By Ear: Complete Guide for Aspiring Musicians,150,346,26,59,All Levels,4.5,Musical Instruments,2015-11-20,English
1964,"Discover the fun of Spoon playing, a beginners course",65,353,13,25,All Levels,1.0,Musical Instruments,2015-06-25,English
1965,Country Guitar Fundamentals,50,1174,39,23,Intermediate Level,1.5,Musical Instruments,2016-12-23,English
1966,Discover Classical Guitar Level 1,25,1513,38,19,Beginner Level,1.5,Musical Instruments,2015-06-21,Italian
1967,PI-101 Top 10 Classical Piano Pieces for Beginners,0,6292,183,38,Beginner Level,1.0,Musical Instruments,2016-05-30,English
1968,Get started playing blues harmonica,0,6853,398,23,Beginner Level,0.6166666666666667,Musical Instruments,2015-03-30,English
1969,Rockabilly Guitar For Beginners,40,475,125,36,Beginner Level,2.0,Musical Instruments,2016-02-21,English
1970,Beginner Piano,20,776,79,89,Beginner Level,4.0,Musical Instruments,2015-08-05,German
1971,Step by Step Tabla Course- Indian Drums,20,1337,17,21,Beginner Level,1.0,Musical Instruments,2016-01-18,English
1972,Play Piano 6 -Improvise on The Way We Were with Power Chords,50,701,4,62,All Levels,1.5,Musical Instruments,2016-11-03,English
1973,101 Blues riffs - learn how the harmonica superstars do it,200,1350,65,55,Intermediate Level,6.5,Musical Instruments,2015-01-04,English
1974,Learn To Play The Drums,25,1141,88,74,All Levels,8.5,Musical Instruments,2015-05-28,English
1975,Guitar: Master The Guitar Fretboard In 6 Easy Steps,55,1203,26,10,Beginner Level,1.0,Musical Instruments,2015-10-12,English
1976,Play Piano in 30 Days! - Start Playing NOW!,0,5188,410,58,Beginner Level,3.0,Musical Instruments,2015-07-26,English
1977,Curso de Didgeridoo nivel principiante,50,0,0,31,Beginner Level,1.0,Musical Instruments,2016-04-11,Spanish
1978,ブルースギター入門,0,462,6,23,All Levels,3.5,Musical Instruments,2014-05-17,Japanese
1979,Pianoforall - Incredible New Way To Learn Piano & Keyboard,200,75499,7676,362,All Levels,30.0,Musical Instruments,2014-08-07,English
1980,The Professional Guitar Masterclass,200,21701,1340,136,All Levels,9.5,Musical Instruments,2015-04-28,English
1981,Modern Rock Guitar Techniques,50,3157,375,32,Intermediate Level,3.0,Musical Instruments,2016-12-08,German
1982,Complete Guitar System - Beginner to Advanced,145,32935,2713,310,All Levels,34.0,Musical Instruments,2013-05-29,English
1983,Guitar Super System Level 1,50,10869,2257,104,Intermediate Level,5.0,Musical Instruments,2015-04-29,English
1984,How to play Piano - Go from a Beginner/Intermediate to a Pro,200,5316,159,291,All Levels,31.0,Musical Instruments,2016-10-16,English
1985,Guitar Super System Level 2,50,4192,128,34,Expert Level,1.5,Musical Instruments,2015-11-30,English
1986,"LEARN HARMONICA, amaze your friends and have fun - it's easy",200,8857,718,131,All Levels,15.5,Musical Instruments,2014-04-27,English
1987,The Complete Piano & Music Theory Beginners Course,50,10435,665,23,All Levels,1.5,Musical Instruments,2016-09-15,English
1988,Ultimate Beginner Guitar Masterclass,200,8113,79,124,Beginner Level,11.5,Musical Instruments,2017-05-15,Italian
1989,Quicklessons Piano Course - Learn to Play Piano by Ear!,200,7178,260,144,All Levels,8.5,Musical Instruments,2014-04-12,English
1990,"Learn guitar the Right way! Complete 'KickStarter course""",150,2102,33,99,Beginner Level,9.0,Musical Instruments,2017-02-25,English
1991,CAGED Pentatonic System for Guitar - Level 1,45,1329,52,35,All Levels,1.5,Musical Instruments,2016-07-28,English
1992,CAGED Pentatonic System for Guitar - Level 2,45,1220,13,26,All Levels,1.5,Musical Instruments,2016-08-26,English
1993,Learn to Play Piano From a Concert Pianist - For Beginners,200,3206,18,17,Beginner Level,1.0,Musical Instruments,2015-11-22,English
1994,#12 Hand Coordination: Let your Hands dance with Ballad 9,75,482,1,47,Intermediate Level,1.5,Musical Instruments,2017-04-26,English
1995,How To Make Money With A Cover Band,50,2498,12,25,All Levels,3.5,Musical Instruments,2017-03-30,English
1996,How To Play Guitar - For Absolute Beginners,35,478,3,18,Beginner Level,1.0,Musical Instruments,2017-05-01,English
1997,Learn How to Improvise on Guitar in 30 Days,200,1788,89,33,Beginner Level,6.0,Musical Instruments,2016-10-25,English
1998,Play Piano 8 - Play Over the Rainbow by Ear & Free Improvise,50,1249,6,69,All Levels,1.5,Musical Instruments,2016-11-14,English
1999,The Best Beginner Guitar Course Ever,50,1976,252,16,Beginner Level,1.0,Musical Instruments,2014-11-25,German
2000,Piano For Singer/Songwriters 2: Pop/Rock Rhythm Immersion,100,567,37,24,All Levels,1.5,Musical Instruments,2016-08-29,English
2001,Guitar: Learn 10 CCR Guitar Chord Progressions,50,2045,8,24,Beginner Level,2.0,Musical Instruments,2016-08-25,English
2002,"Play Piano 2:  Play 'Love Me Tender By Ear with 2-5 Chords""",50,1204,8,56,All Levels,1.5,Musical Instruments,2016-10-30,English
2003,Learn Piano #10 Tritone Chord Substitution with Jazzy Sounds,60,1227,2,26,All Levels,0.6333333333333333,Musical Instruments,2016-10-25,English
2004,Getting Started with Playing Guitar,0,47652,1141,26,Beginner Level,4.0,Musical Instruments,2013-05-29,English
2005,Piano Playing: Reading and Playing Classical Tunes Vol.II,40,1638,3,17,Beginner Level,1.5,Musical Instruments,2016-06-28,English
2006,Harmonica Jamz: The Only Course on Jammin' with Friends,60,568,8,65,Beginner Level,5.0,Musical Instruments,2017-03-21,English
2007,Guitar - Learn 10 Legendary Chord Progressions for Guitar,55,3013,15,28,Beginner Level,1.5,Musical Instruments,2015-06-14,English
