,Title,Price[USD],Subscribers,Reviews,Lectures,Level,Length[Weeks],Subject,Published_Date,Language
131,Transfer Pricing A Complete Analysis,50,1852,3,14,All Levels,2.5,Business Finance,2016-12-28,English
132,Accounting: Get Hired Without Work Experience,100,4661,187,20,All Levels,1.0,Business Finance,2014-09-01,English
133,Forex Trading for Beginners - Basics,50,989,9,11,All Levels,1.0,Business Finance,2017-04-24,English
134,Basic Bookkeeping Hacks,20,5841,16,28,All Levels,1.5,Business Finance,2016-06-14,English
135,Complete Trading Plan Course for Stocks & Forex (10 Hours),200,1087,14,61,All Levels,9.5,Business Finance,2017-03-23,English
136,"Forex Trading with Fixed 'Risk through Options Trading""",200,611,4,26,Beginner Level,1.0,Business Finance,2017-06-07,English
137,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",60,1922,149,15,All Levels,20.0,Business Finance,2016-01-21,English
138,How to Pick The Right Penny Stocks To Invest In 2017,150,9015,65,23,All Levels,2.5,Business Finance,2014-07-01,English
139,Top 10 Trading Ideas in the Equities Market,20,661,4,12,All Levels,1.0,Business Finance,2017-05-02,English
140,Intro to Financial Modeling,105,1077,110,55,Beginner Level,6.0,Business Finance,2016-08-19,English
141,Shark Accounting - Building a Business by the Numbers!,20,6050,140,17,Beginner Level,1.5,Business Finance,2014-05-18,English
142,Forex Trading MAKE YOUR FIRST TRADE TODAY!,150,3523,46,45,All Levels,4.0,Business Finance,2016-01-10,English
143,Accounting in 60 Minutes - A Brief Introduction,0,56659,4397,16,Beginner Level,1.5,Business Finance,2013-04-07,English
144,SAP FICO For Beginners - A Guide to SAP Financial Accounts,100,1444,101,59,Beginner Level,5.0,Business Finance,2016-07-25,English
145,Learn how to double your Forex Trading Account in one trade,60,2900,424,36,Intermediate Level,2.5,Business Finance,2014-10-19,English
146,"Accounting Superpowers: Learn Accounts, Understand Business!",200,1437,96,34,Beginner Level,2.5,Business Finance,2016-08-08,English
147,Python Algo Trading: FX Trading with Oanda,200,453,42,33,Intermediate Level,3.0,Business Finance,2017-03-14,English
148,Save on Your Taxes,20,2437,12,23,All Levels,1.5,Business Finance,2016-11-16,English
149,Financial Model Basics: Build a model from start to finish,30,5057,142,13,Beginner Level,1.0,Business Finance,2015-02-06,English
150,Option Trading for Rookies: The Covered Call Option Strategy,95,6092,25,29,Beginner Level,1.5,Business Finance,2016-11-03,English
151,EFT for Stock Options Trading Success & Making Better Trades,95,4530,13,31,All Levels,1.5,Business Finance,2015-08-06,English
152,Learn to Trade the Stock Market without Blowing Your Profits,60,6967,16,34,All Levels,1.0,Business Finance,2017-05-02,English
153,Get a Credit Repair Publication On Amazon and Live LIFE..,20,727,11,25,Beginner Level,3.0,Business Finance,2017-04-26,English
154,Fundamentals of Accounting,20,1560,43,25,All Levels,3.0,Business Finance,2016-08-31,English
155,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",200,1047,9,46,All Levels,3.5,Business Finance,2017-01-26,English
156,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,125,1045,2,17,Intermediate Level,1.0,Business Finance,2017-04-24,English
157,Accounting 101: How to read an Accounting Balance Sheet,200,3050,86,22,Beginner Level,2.0,Business Finance,2015-01-27,English
158,Stock Options Day Trading Mindset for Success,200,2988,21,43,All Levels,4.5,Business Finance,2015-09-29,English
159,Introduction to bookkeeping and Accounting,35,2623,158,20,Beginner Level,1.0,Business Finance,2015-08-21,English
160,Learn to Trade The News,200,1924,351,544,All Levels,46.5,Business Finance,2015-07-16,English
161,"Value Investing, Taught by Six Superinvestors",200,3804,267,66,All Levels,5.0,Business Finance,2015-06-19,English
162,Trading for everyone - The Independent Investor Course I,120,4133,15,36,Beginner Level,4.0,Business Finance,2015-10-08,English
163,Get Acquired: Learn From The Head Of Acquisitions For eBay,195,1420,70,29,All Levels,2.5,Business Finance,2016-04-28,English
164,Stock Market investment: Practical Accounting,125,1120,6,43,Beginner Level,3.0,Business Finance,2017-01-23,English
165,"How to remove 'Risk from Penny Stocks - Options Trading""",200,668,12,22,All Levels,1.0,Business Finance,2017-02-07,English
166,Accounting Basics in 66 Minutes (absolutely for beginners),25,4086,31,14,All Levels,1.5,Business Finance,2015-03-08,English
167,"Tax Accounting: Difficult Topic, Made Easy to Understand",200,1033,10,29,All Levels,2.0,Business Finance,2017-01-11,English
168,Analysis of Company Financial Statements,20,832,34,34,All Levels,1.5,Business Finance,2016-12-07,English
169,Forex Trading Like Banks – Step by Step with Live Examples,195,677,45,40,All Levels,4.5,Business Finance,2016-12-18,English
170,Fundamentals of Investing!,20,3125,54,13,Beginner Level,2.0,Business Finance,2015-08-09,English
171,Bank Financial Management A Comprehensive Study,50,1081,6,21,All Levels,1.5,Business Finance,2017-02-10,English
172,Learn to Trade Forex and Stocks: From Beginner to Advanced,200,1645,25,42,All Levels,2.0,Business Finance,2016-09-07,English
173,"Master 'Technical Analysis and Chart reading skills Bundle""",120,3348,352,13,All Levels,3.0,Business Finance,2013-02-25,English
174,Naked Put Options Trade Covered Call & Poor Man Covered Call,200,939,7,19,All Levels,1.5,Business Finance,2017-02-10,English
175,The Ultimate Guide to Dividend & Dividend Growth Investing,200,2115,59,88,All Levels,5.5,Business Finance,2015-11-13,English
176,Charting for Beginners 101: Technical Analysis Demystified,45,2230,102,10,All Levels,1.5,Business Finance,2015-10-09,English
177,Build a DCF Valuation Model,50,2053,234,44,All Levels,5.5,Business Finance,2014-10-01,English
178,Introductory Financial Accounting,80,1793,265,54,Beginner Level,10.0,Business Finance,2012-10-03,English
179,Introduction to Cryptocurrencies and Blockchain,0,3775,138,11,Beginner Level,2.0,Business Finance,2017-05-01,English
180,Trade Pullback Candlestick Strategy - Make Consistent Pips,200,521,67,24,All Levels,3.0,Business Finance,2016-02-24,English
181,Accounting Standards Basics (Professional Course Level),20,2222,9,12,All Levels,0.7,Business Finance,2015-02-07,English
182,Use the Magic Multiple Moving Average Forex Trading system,50,1097,252,10,Intermediate Level,1.0,Business Finance,2014-11-08,English
183,QuickBooks 2015 Training for Newbies,200,2506,21,76,Beginner Level,6.0,Business Finance,2015-05-11,English
184,TRADING PSYCHOLOGY: Trading Mindset Mastery,120,975,23,23,Intermediate Level,1.0,Business Finance,2015-09-30,English
185,Option Trading: How to Adjust Delta-Neutral Strangles!,145,1398,15,26,All Levels,1.5,Business Finance,2015-10-19,English
186,Profitable binary option trading strategy,195,1096,24,24,All Levels,1.5,Business Finance,2015-10-29,English
187,Tax Strategy: Financial Planning for Beginners,200,1703,59,25,All Levels,2.0,Business Finance,2014-11-04,English
188,Accounting 2 Simplified for You,45,1446,23,27,Beginner Level,5.0,Business Finance,2014-12-09,English
189,Project Funding Modelling (for Professionals),20,2736,3,8,All Levels,1.5,Business Finance,2014-12-29,English
190,Investing: How I Consistently Beat The Stock Market,200,2000,31,34,All Levels,4.5,Business Finance,2014-12-11,English
191,Bookkeeping Basics:  Understand the Fundamentals,75,853,45,48,Beginner Level,4.5,Business Finance,2016-11-06,English
192,Leasing - A Comprehensive Study (Professional Course Level),20,3094,2,22,All Levels,3.5,Business Finance,2015-07-17,English
193,Trading Options For Consistent Returns: Options Basics,0,4077,281,20,Beginner Level,1.5,Business Finance,2016-08-18,English
194,TechniTrader Leading Hybrid Indicator Trading,20,4117,54,5,Intermediate Level,1.0,Business Finance,2013-04-04,English
195,Financial modeling: Build a DCF equity valuation model,20,1369,17,31,All Levels,1.5,Business Finance,2016-03-06,English
196,CryptoArbitrager: Bitcoin Trading Robot (no mining),150,1224,42,14,All Levels,0.55,Business Finance,2016-03-23,English
197,Accounting Is Easy (for Beginners),20,3870,12,90,All Levels,9.0,Business Finance,2014-05-20,English
198,Non Directional Weekly Options Trading System - ETF & Emini,200,897,22,21,All Levels,2.0,Business Finance,2016-05-24,English
199,The Complete Position Trading Course: Position Trading Stock,45,1311,36,5,All Levels,1.0,Business Finance,2016-01-15,English
200,Master Iron Condors - Double the credit for half the risk,60,1338,139,7,Expert Level,1.0,Business Finance,2013-03-02,English
201,Basics of investing in Mutual Funds,20,1589,26,42,Intermediate Level,1.5,Business Finance,2015-03-03,English
202,A Value Investing Approach to the Stock Market,20,1189,12,15,All Levels,1.5,Business Finance,2015-02-19,English
203,Learn how to INVEST for huge profits or make it big trading!,50,701,12,37,All Levels,5.5,Business Finance,2015-06-19,English
204,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",50,1105,3,54,Intermediate Level,6.0,Business Finance,2015-02-11,English
205,Mastering Candlestick Charting : High Probability Trading,50,123,16,35,All Levels,2.0,Business Finance,2015-09-22,English
206,Binary Options Course - Level 2,0,5874,207,9,Intermediate Level,2.0,Business Finance,2014-06-26,English
207,Stock Technical Analysis with R,50,354,32,49,All Levels,7.0,Business Finance,2016-03-18,English
208,"Get to know the VIX Index (aka 'The Fear Index)""",60,727,64,9,All Levels,1.0,Business Finance,2013-03-08,English
209,Apply finance concepts for smart project management,0,3465,161,24,Beginner Level,2.0,Business Finance,2016-02-23,English
210,Introduction to Futures Trading and Live Trade Demonstration,60,54,4,6,Expert Level,0.7166666666666667,Business Finance,2017-05-24,English
211,Crowdfunding to Win,40,627,15,15,All Levels,1.5,Business Finance,2015-09-23,English
212,Comprehensive Forex Mastery Program,45,650,107,97,All Levels,10.0,Business Finance,2013-02-07,English
213,Preparation of Consolidated Financial Statements (Basic),0,965,0,18,Intermediate Level,1.5,Business Finance,2017-06-28,English
214,Succeed in Bonds Even if You Don't Know Where to Start,200,1113,6,8,All Levels,1.0,Business Finance,2017-02-03,English
215,Learn to Trade for Profit: Ten Most Profitable Trading Rules,95,739,28,45,All Levels,2.0,Business Finance,2014-12-23,English
216,Succeed in Lotto Even if You Don't Know Where to Start!,20,1201,12,18,All Levels,1.5,Business Finance,2017-05-11,English
217,CFA Corporate Finance Level 2,50,2474,6,128,All Levels,17.5,Business Finance,2015-07-07,English
218,Pin Bars: The Most Powerful Forex Trading Signal,200,494,16,19,All Levels,1.0,Business Finance,2016-08-10,English
219,Stock Options Trades Using Interactive Brokers,95,1580,26,14,Intermediate Level,1.0,Business Finance,2015-09-07,English
220,Introduction to Options - Strategies For Consistent Profits,40,617,44,55,All Levels,4.5,Business Finance,2015-08-16,English
221,Risk in Forex Transactions - for CA / CS / CFA exams,20,2235,3,9,All Levels,1.0,Business Finance,2015-09-29,English
222,Basics of Business Statistics (College Level),20,2293,9,28,All Levels,2.0,Business Finance,2015-01-06,English
223,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",200,1094,8,13,Beginner Level,2.0,Business Finance,2016-03-30,English
224,Interpreting Financial Statements,20,1449,29,23,Beginner Level,1.5,Business Finance,2013-06-06,English
225,Introduction to Bookkeeping (Accounting),20,3251,10,59,Beginner Level,12.0,Business Finance,2014-01-31,English
226,CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,60,607,55,16,Intermediate Level,2.0,Business Finance,2013-03-05,English
227,Investment Banking: How to Land a Job on Wall Street,75,1218,30,63,All Levels,3.5,Business Finance,2015-06-11,English
228,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,20,1132,33,18,All Levels,1.0,Business Finance,2015-07-20,English
229,Financial modeling: Build a multiples valuation model,20,656,17,20,All Levels,1.5,Business Finance,2016-05-30,English
